"Name.en","Name.fr","Name.de"
"Gross operating surplus [State Annual NAICS]","Excédent brut d'exploitation [État SCIAN annuel]","Bruttobetriebsüberschuss [Staat Jahres NAICS]"
"Gross operating surplus [State Annual SIC]","Excédent brut d'exploitation [État SIC annuel]","Bruttobetriebsüberschuss [Status Annual SIC]"
"Total personal consumption expenditures (PCE) by state [State Personal Consumption Expenditures]","Total des dépenses de consommation personnelle (PCE) par État [État des dépenses personnelles de consommation]","Insgesamt persönlichen Konsumausgaben (PCE) von staatlichen [Zustand privaten Konsumausgaben]"
"Per capita personal consumption expenditures (PCE) by state [State Personal Consumption Expenditures]","Les dépenses personnelles de consommation par habitant (PCE) par État [État des dépenses personnelles de consommation]","Der Pro-Kopf privaten Konsumausgaben (PCE) von staatlichen [Zustand privaten Konsumausgaben]"
"Per capita real GDP by state [State Annual NAICS]","PIB réel par habitant par l'Etat [État SCIAN annuel]","Der Pro-Kopf des realen BIP von Staat [Staat Jahres NAICS]"
"Per capita real GDP by state [State Annual SIC]","PIB réel par habitant par l'Etat [État SIC annuel]","Der Pro-Kopf des realen BIP von staatlichen [Staat Annual SIC]"
"Quantity indexes for real GDP by state [State Annual NAICS]","Quantité index pour le PIB réel par État [État SCIAN annuel]","Anzahl Indizes für das reale BIP von Staat [Staat Jahres NAICS]"
"Quantity indexes for real GDP by state [State Annual SIC]","Quantité index pour le PIB réel par État [État SIC annuel]","Anzahl Indizes für das reale BIP von staatlichen [Staat Annual SIC]"
"Quantity indexes for real GDP by state [State Quarterly NAICS]","Quantité index pour le PIB réel par État [État SCIAN trimestriel]","Anzahl Indizes für das reale BIP von Staat [Staat Quarterly NAICS]"
"Real GDP by state [State Annual NAICS]","Le PIB réel par l'État [État SCIAN annuel]","Das reale BIP von Staat [Staat Jahres NAICS]"
"Real GDP by state [State Annual SIC]","Le PIB réel par l'État [État SIC annuel]","Das reale BIP von Staat [Staat Annual SIC]"
"Real GDP by state [State Quarterly NAICS]","Le PIB réel par l'État [État SCIAN trimestriel]","Das reale BIP von Staat [Staat Quarterly NAICS]"
"Subsidies [State Annual NAICS]","Subventions [État SCIAN annuel]","Subventionen [Staat Jahres NAICS]"
"Subsidies [State Annual SIC]","Subventions [État SIC annuel]","Subventionen [Staat Annual SIC]"
"Taxes on production and imports less subsidies [State Annual NAICS]","Taxes sur la production et les importations moins subventions [État SCIAN annuel]","Steuern auf Produktion und Importe weniger Subventionen [Staat Jahres NAICS]"
"Taxes on production and imports less subsidies [State Annual SIC]","Taxes sur la production et les importations moins les subventions [État SIC annuel]","Steuern auf Produktion und Importe weniger Subventionen [Staat Annual SIC]"
"Taxes on production and imports [State Annual NAICS]","Impôts sur la production et les importations [État SCIAN annuel]","Steuern auf Produktion und Importe [Staat Jahres NAICS]"
"Taxes on production and imports [State Annual SIC]","Impôts sur la production et les importations [État SIC annuel]","Steuern auf Produktion und Importe [Staat Annual SIC]"
"All industry total [State Annual NAICS]","Toute l'industrie totale [État SCIAN annuel]","Alle Industrie insgesamt [Staat Jahres NAICS]"
"All industry total [State Annual SIC]","Toute l'industrie totale [État SIC annuel]","Alle Industrie insgesamt [Staat Annual SIC]"
"All industry total [State Quarterly NAICS]","Toute l'industrie totale [État SCIAN trimestriel]","Alle Industrie insgesamt [Staat Quarterly NAICS]"
"Utilities [State Annual NAICS]","Utilities [État SCIAN annuel]","Dienstprogramme [Status Annual NAICS]"
"Nonmetallic minerals, except fuels [State Annual SIC]","minéraux non métalliques, à l'exception des carburants [État SIC annuel]","Nichtmetallische Mineralien, ausgenommen Brennstoffe [Staat Annual SIC]"
"Utilities [State Quarterly NAICS]","Utilities [État SCIAN trimestriel]","Dienstprogramme [Staat Quarterly NAICS]"
"Construction [State Annual NAICS]","Construction [État SCIAN annuel]","Bau [Staat Annual NAICS]"
"Construction [State Annual SIC]","Construction [État SIC annuel]","Bau [Staat Annual SIC]"
"Construction [State Quarterly NAICS]","Construction [État SCIAN trimestriel]","Bau [Staat Quarterly NAICS]"
"Manufacturing [State Annual NAICS]","Fabrication [État SCIAN annuel]","Herstellung [Staat Annual NAICS]"
"Manufacturing [State Annual SIC]","Fabrication [État SIC annuel]","Herstellung [Staat Annual SIC]"
"Manufacturing [State Quarterly NAICS]","Fabrication [État SCIAN trimestriel]","Herstellung [Staat Quarterly NAICS]"
"Durable goods manufacturing [State Annual NAICS]","fabrication de biens durables [État SCIAN annuel]","Gebrauchsgüter [Staat Annual NAICS]"
"Durable goods manufacturing [State Annual SIC]","fabrication de biens durables [État SIC annuel]","Gebrauchsgüter [Staat Annual SIC]"
"Durable goods manufacturing [State Quarterly NAICS]","fabrication de biens durables [État SCIAN trimestriel]","Gebrauchsgüter [Staat Quarterly NAICS]"
"Wood products manufacturing [State Annual NAICS]","Les produits du bois de fabrication [État SCIAN annuel]","Holzprodukte verarbeitende Industrie [Staat Annual NAICS]"
"Lumber and wood products [State Annual SIC]","produits de bois d'oeuvre et de bois [État SIC annuel]","Bauholz und Holzprodukte [Staat Annual SIC]"
"Nonmetallic mineral products manufacturing [State Annual NAICS]","Non métalliques fabrication de produits minéraux [État SCIAN annuel]","Nichtmetallische Mineralprodukte verarbeitende Industrie [Staat Annual NAICS]"
"Furniture and fixtures [State Annual SIC]","Mobilier et agencements [État SIC annuel]","Möbel und Einrichtungsgegenstände [Staat Annual SIC]"
"Primary metals manufacturing [State Annual NAICS]","fabrication de métaux primaires [État SCIAN annuel]","Primäre Metallerzeugung [Zustand Annual NAICS]"
"Stone, clay, and glass products [State Annual SIC]","Pierre, argile et produits en verre [État SIC annuel]","Stein, Ton und Glasprodukte [Status Annual SIC]"
"Fabricated metal products [State Annual NAICS]","Produits métalliques [État SCIAN annuel]","Metallerzeugnisse [Staat Annual NAICS]"
"Primary metal industries [State Annual SIC]","industries des métaux de première [État SIC annuel]","Primäre Metallindustrie [Staat Annual SIC]"
"Machinery manufacturing [State Annual NAICS]","Fabrication de machines [État SCIAN annuel]","Maschinenbau [Staat Annual NAICS]"
"Fabricated metal products [State Annual SIC]","Produits métalliques [État SIC annuel]","Metallerzeugnisse [Status Annual SIC]"
"Computer and electronic products manufacturing [State Annual NAICS]","Produits informatiques et électroniques de fabrication [État SCIAN annuel]","Computer und elektronische Produkte Fertigung [Staat Annual NAICS]"
"Industrial machinery and equipment [State Annual SIC]","machines et équipements industriels [État SIC annuel]","Industrielle Maschinen und Geräte [Zustand Annual SIC]"
"Private industries [State Annual NAICS]","industries privées [État SCIAN annuel]","Private Industries [Staat Annual NAICS]"
"Private industries [State Annual SIC]","industries privées [État SIC annuel]","Private Industries [Staat Annual SIC]"
"Private industries [State Quarterly NAICS]","industries privées [État SCIAN trimestriel]","Private Industries [Staat Quarterly NAICS]"
"Electrical equipment, appliance, and components manufacturing [State Annual NAICS]","Les équipements électriques, la fabrication d'appareils et de composants [État SCIAN annuel]","Elektrische Ausrüstung, Gerät und Komponenten Fertigung [Zustand Annual NAICS]"
"Electronic and other electric equipment [State Annual SIC]","équipements électriques électroniques et autres [État SIC annuel]","Elektronische und andere elektrische Geräte [Zustand Annual SIC]"
"Motor vehicles, bodies and trailers, and parts manufacturing [State Annual NAICS]","Véhicules automobiles, carrosseries et de remorques, et la fabrication de pièces [État SCIAN annuel]","Kraftfahrzeuge, Aufbauten und Anhänger und Teilefertigung [Zustand Annual NAICS]"
"Motor vehicles and equipment [State Annual SIC]","véhicules et équipements automobiles [État SIC annuel]","Kraftfahrzeuge und Geräte [Zustand Annual SIC]"
"Other transportation equipment manufacturing [State Annual NAICS]","fabrication d'autres matériels de transport [État SCIAN annuel]","Andere Transportausrüstungen Herstellung [Zustand Annual NAICS]"
"Other transportation equipment [State Annual SIC]","Autre matériel de transport [État SIC annuel]","Andere Transportausrüstung [Staat Annual SIC]"
"Furniture and related products manufacturing [State Annual NAICS]","Meubles et produits connexes de fabrication [État SCIAN annuel]","Möbel und verwandten Produkten Herstellung [Staat Annual NAICS]"
"Instruments and related products [State Annual SIC]","Instruments et produits connexes [État SIC annuel]","Instrumente und verwandten Produkten [Status Annual SIC]"
"Miscellaneous manufacturing [State Annual NAICS]","Divers fabrication [État SCIAN annuel]","Verschiedene Herstellungs [Staat Annual NAICS]"
"Miscellaneous manufacturing [State Annual SIC]","Divers fabrication [État SIC annuel]","Verschiedene Herstellungs [Staat Annual SIC]"
"Nondurable goods manufacturing [State Annual NAICS]","la fabrication de biens non durables [État SCIAN annuel]","Verbrauchsgüter Herstellung [Staat Jahres NAICS]"
"Nondurable goods manufacturing [State Annual SIC]","la fabrication de biens non durables [État SIC annuel]","Verbrauchsgüter Fertigung [Staat Annual SIC]"
"Nondurable goods manufacturing [State Quarterly NAICS]","la fabrication de biens non durables [État SCIAN trimestriel]","Verbrauchsgüter Fertigung [Staat Quarterly NAICS]"
"Food and beverage and tobacco products manufacturing [State Annual NAICS]","Aliments et boissons et produits du tabac de fabrication [État SCIAN annuel]","Essen und Getränke und Tabakwaren Herstellung [Staat Annual NAICS]"
"Food and kindred products [State Annual SIC]","Aliments et boissons [État SIC annuel]","Lebensmittel und verwandte Produkte [Staat Annual SIC]"
"Textile mills and textile product mills [State Annual NAICS]","Les usines de textile et des usines de produits textiles [État SCIAN annuel]","Textilfabriken und Textilprodukt Mühlen [Staat Annual NAICS]"
"Tobacco products [State Annual SIC]","Les produits du tabac [État SIC annuel]","Tabakwaren [Staat Annual SIC]"
"Apparel and leather and allied products manufacturing [State Annual NAICS]","Habillement et du cuir et des produits connexes de fabrication [État SCIAN annuel]","Bekleidung und Leder und verwandte Produkte Herstellung [Staat Annual NAICS]"
"Textile mill products [State Annual SIC]","produits de l'usine de textile [État SIC annuel]","Textilmühlen [Staat Annual SIC]"
"Paper products manufacturing [State Annual NAICS]","Les produits de papier de fabrication [État SCIAN annuel]","Papierprodukte verarbeitende Industrie [Staat Annual NAICS]"
"Apparel and other textile products [State Annual SIC]","Vêtements et autres produits textiles [État SIC annuel]","Bekleidung und andere textile Produkte [Staat Annual SIC]"
"Agriculture, forestry, fishing, and hunting [State Annual NAICS]","Agriculture, foresterie, pêche et chasse [État SCIAN annuel]","Landwirtschaft, Forstwirtschaft, Fischerei und Jagd [Staat Annual NAICS]"
"Agriculture, forestry, and fishing [State Annual SIC]","Agriculture, sylviculture et pêche [État SIC annuel]","Landwirtschaft, Forstwirtschaft und Fischerei [Staat Annual SIC]"
"Agriculture, forestry, fishing, and hunting [State Quarterly NAICS]","Agriculture, foresterie, pêche et chasse [État SCIAN trimestriel]","Landwirtschaft, Forstwirtschaft, Fischerei und Jagd [Staat Quarterly NAICS]"
"Printing and related support activities [State Annual NAICS]","Impression et activités connexes de soutien [État SCIAN annuel]","Druck und die damit verbundenen Support-Aktivitäten [Staat Annual NAICS]"
"Paper and allied products [State Annual SIC]","Papier et produits connexes [État SIC annuel]","Papier und verwandte Produkte [Staat Annual SIC]"
"Petroleum and coal products manufacturing [State Annual NAICS]","Les produits pétroliers et du charbon [État SCIAN annuel]","Erdöl und Kohle-Produkte verarbeitende Industrie [Staat Annual NAICS]"
"Printing and publishing [State Annual SIC]","Impression et édition [État SIC annuel]","Druck und Veröffentlichung [Status Annual SIC]"
"Chemical products manufacturing [State Annual NAICS]","Produits chimiques de fabrication [État SCIAN annuel]","Chemische Erzeugnisse verarbeitende Industrie [Staat Annual NAICS]"
"Chemicals and allied products [State Annual SIC]","Produits chimiques et produits connexes [État SIC annuel]","Chemikalien und verwandte Produkte [Staat Annual SIC]"
"Plastics and rubber products manufacturing [State Annual NAICS]","Matières plastiques et produits en caoutchouc fabrication [État SCIAN annuel]","Kunststoffe und Gummiwaren Herstellung [Staat Annual NAICS]"
"Petroleum and coal products [State Annual SIC]","Les produits pétroliers et du charbon [État SIC annuel]","Erdöl und Kohle-Produkte [Staat Annual SIC]"
"Wholesale trade [State Annual NAICS]","Commerce de gros [État SCIAN annuel]","Großhandel [Staat Jahres NAICS]"
"Rubber and miscellaneous plastics products [State Annual SIC]","produits en caoutchouc et en matières plastiques divers [État SIC annuel]","Gummi und verschiedene Kunststoffprodukte [Staat Annual SIC]"
"Wholesale trade [State Quarterly NAICS]","Commerce de gros [État SCIAN trimestriel]","Großhandel [Staat Quarterly NAICS]"
"Retail trade [State Annual NAICS]","Commerce de détail [État SCIAN annuel]","Einzelhandel [Staat Jahres NAICS]"
"Leather and leather products [State Annual SIC]","Cuir et produits en cuir [État SIC annuel]","Leder und Lederwaren [Staat Annual SIC]"
"Retail trade [State Quarterly NAICS]","Commerce de détail [État SCIAN trimestriel]","Einzelhandel [Staat Quarterly NAICS]"
"Transportation and warehousing [State Annual NAICS]","Transport et entreposage [État SCIAN annuel]","Transport und Lagerung [Zustand Annual NAICS]"
"Transportation and public utilities [State Annual SIC]","Transports et services publics [État SIC annuel]","Transport und öffentliche Versorgungs [Staat Annual SIC]"
"Transportation and warehousing [State Quarterly NAICS]","Transport et entreposage [État SCIAN trimestriel]","Transport und Lagerung [Zustand Quarterly NAICS]"
"Air transportation [State Annual NAICS]","Le transport aérien [État SCIAN annuel]","Der Luftverkehr [Staat Jahres NAICS]"
"Transportation [State Annual SIC]","Transport [État SIC annuel]","Transport [Staat Annual SIC]"
"Rail transportation [State Annual NAICS]","Transport ferroviaire [État SCIAN annuel]","Der Schienenverkehr [Staat Jahres NAICS]"
"Railroad transportation [State Annual SIC]","Transport ferroviaire [État SIC annuel]","Bahntransport [Staat Annual SIC]"
"Water transportation [State Annual NAICS]","le transport de l'eau [État SCIAN annuel]","Wassertransport [Staat Jahres NAICS]"
"Local and interurban passenger transit [State Annual SIC]","transit de passagers locaux et interurbains [État SIC annuel]","Lokale und Fernpersonenbeförderung [Staat Jahres SIC]"
"Farms [State Annual NAICS]","Farms [État SCIAN annuel]","Farms [Staat Annual NAICS]"
"Farms [State Annual SIC]","Farms [État SIC annuel]","Farms [Staat Annual SIC]"
"Truck transportation [State Annual NAICS]","Le transport par camion [État SCIAN annuel]","LKW-Transport [Staat Jahres NAICS]"
"Trucking and warehousing [State Annual SIC]","Camionnage et entreposage [État SIC annuel]","LKW-Transport und Lagerung [Staat Annual SIC]"
"Transit and ground passenger transportation [State Annual NAICS]","le transport de transit et de transport terrestre de voyageurs [État SCIAN annuel]","Transit und Boden Personentransport [Staat Jahres NAICS]"
"Water transportation [State Annual SIC]","le transport de l'eau [État SIC annuel]","Wassertransport [Zustand Annual SIC]"
"Pipeline transportation [State Annual NAICS]","Le transport par pipeline [État SCIAN annuel]","Rohrleitungstransport [Zustand Annual NAICS]"
"Transportation by air [State Annual SIC]","Transport aérien [État SIC annuel]","Transport von Luft [Zustand Annual SIC]"
"Other transportation and support activities [State Annual NAICS]","Autres activités de transport et de soutien [État SCIAN annuel]","Andere Transport und Support-Aktivitäten [Staat Annual NAICS]"
"Pipelines, except natural gas [State Annual SIC]","Pipelines, sauf gaz naturel [État SIC annuel]","Pipelines, mit Ausnahme von Erdgas [Staat Annual SIC]"
"Warehousing and storage [State Annual NAICS]","Entreposage et stockage [État SCIAN annuel]","Lagerei [Zustand Annual NAICS]"
"Transportation services [State Annual SIC]","Les services de transport [État SIC annuel]","Verkehrsmittel bei der Unterkunft [Staat Annual SIC]"
"Information [State Annual NAICS]","Information [État SCIAN annuel]","Information [Staat Annual NAICS]"
"Communications [State Annual SIC]","Communications [État SIC annuel]","Communications [Staat Annual SIC]"
"Information [State Quarterly NAICS]","Information [État SCIAN trimestriel]","Information [Staat Quarterly NAICS]"
"Publishing industries, except Internet (includes software) [State Annual NAICS]","Publication industries, sauf Internet (logiciels) [État SCIAN annuel]","Verlagsindustrie, mit Ausnahme des Internet (einschließlich Software) [Status Annual NAICS]"
"Electric, gas, and sanitary services [State Annual SIC]","services électriques, de gaz et sanitaires [État SIC annuel]","Elektro-, Gas- und Sanitärdienstleistungen [Staat Annual SIC]"
"Motion picture and sound recording industries [State Annual NAICS]","du film et de l'enregistrement sonore industries [État SCIAN annuel]","Film- und Tonaufnahmen Industrie [Status Annual NAICS]"
"Wholesale trade [State Annual SIC]","Commerce de gros [État SIC annuel]","Großhandel [Staat Annual SIC]"
"Broadcasting and telecommunications [State Annual NAICS]","Radiodiffusion et télécommunications [État SCIAN annuel]","Rundfunk und Telekommunikation [Staat Annual NAICS]"
"Retail trade [State Annual SIC]","Commerce de détail [État SIC annuel]","Einzelhandel [Staat Annual SIC]"
"Data processing, internet publishing, and other information services [State Annual NAICS]","Le traitement des données, la publication sur Internet, et d'autres services d'information [État SCIAN annuel]","Datenverarbeitung, Internet-Publishing und andere Informationsdienste [Staat Annual NAICS]"
"Finance, insurance, and real estate [State Annual SIC]","Finance, assurance et immobilier [État SIC annuel]","Finanzen, Versicherungen und Immobilien [Staat Annual SIC]"
"Forestry, fishing, and related activities [State Annual NAICS]","Les activités forestières, pêche et services connexes [État SCIAN annuel]","Forstwirtschaft, Fischerei und damit verbundene Tätigkeiten [Staat Annual NAICS]"
"Agricultural services, forestry, and fishing [State Annual SIC]","Les services agricoles, de la sylviculture et de la pêche [État SIC annuel]","Landwirtschaftliche Dienstleistungen, Forstwirtschaft und Fischerei [Staat Annual SIC]"
"Finance, insurance, real estate, rental, and leasing [State Annual NAICS]","Finance, assurance, immobilier, location et crédit-bail [État SCIAN annuel]","Finanzen, Versicherungen, Immobilien, Vermietung und Leasing [Staat Annual NAICS]"
"Depository institutions [State Annual SIC]","institutions de dépôt [État SIC annuel]","Depository Institutionen [Staat Annual SIC]"
"Finance and insurance [State Annual NAICS]","Finance et assurances [État SCIAN annuel]","Finanzen und Versicherungen [Staat Annual NAICS]"
"Nondepository institutions [State Annual SIC]","institutions de dépôts sont [État SIC annuel]","Nondepository Institutionen [Staat Annual SIC]"
"Finance and insurance [State Quarterly NAICS]","Finance et assurances [État SCIAN trimestriel]","Finanzen und Versicherungen [Staat Quarterly NAICS]"
"Federal Reserve banks, credit intermediation, and related services [State Annual NAICS]","les banques de la Réserve fédérale, l'intermédiation financière, et services connexes [État SCIAN annuel]","Federal Reserve Banken, Kreditinstitute und damit verbundene Dienstleistungen [Staat Annual NAICS]"
"Security and commodity brokers [State Annual SIC]","Sécurité et produits courtiers [État SIC annuel]","Sicherheit und Rohstoff-Brokern [Status Annual SIC]"
"Securities, commodity contracts, and investments [State Annual NAICS]","Valeurs mobilières, contrats de marchandises et les investissements [État SCIAN annuel]","Wertpapiere, Rohstoffkontrakte und Investitionen [Staat Jahres NAICS]"
"Insurance carriers [State Annual SIC]","Les compagnies d'assurance [État SIC annuel]","Versicherungsträger [Staat Annual SIC]"
"Insurance carriers and related activities [State Annual NAICS]","Les compagnies d'assurance et les activités connexes [État SCIAN annuel]","Versicherungsträger und damit verbundene Tätigkeiten [Staat Annual NAICS]"
"Insurance agents, brokers, and services [State Annual SIC]","Les agents d'assurance, courtiers et services [État SIC annuel]","Versicherungsvertreter, Versicherungsmakler und Dienstleistungen [Staat Annual SIC]"
"Funds, trusts, and other financial vehicles [State Annual NAICS]","Fonds, fiducies et autres véhicules financiers [État SCIAN annuel]","Fonds, Trusts und andere Finanzvehikel [Staat Annual NAICS]"
"Real estate [State Annual SIC]","Immobilier [État SIC annuel]","Immobilien [Zustand Annual SIC]"
"Real estate and rental and leasing [State Annual NAICS]","Immobilier et location [État SCIAN annuel]","Immobilien und Vermietung und Leasing [Staat Annual NAICS]"
"Holding and other investment offices [State Annual SIC]","Holding et d'autres bureaux de placement [État SIC annuel]","Holding und andere Anlage Büros [Staat Annual SIC]"
"Real estate and rental and leasing [State Quarterly NAICS]","Immobilier et location [État SCIAN trimestriel]","Immobilien und Vermietung und Leasing [Staat Quarterly NAICS]"
"Real estate [State Annual NAICS]","Immobilier [État SCIAN annuel]","Immobilien [Staat Annual NAICS]"
"Services [State Annual SIC]","Services [État SIC annuel]","Dienstleistungen [Staat Annual SIC]"
"Rental and leasing services and lessors of intangible assets [State Annual NAICS]","Location et location-bail et bailleurs de biens incorporels [État SCIAN annuel]","Vermietung und Leasing-Dienstleistungen und Vermietern von immateriellen Vermögenswerten [Staat Jahres NAICS]"
"Hotels and other lodging places [State Annual SIC]","Hôtels et autres lieux d'hébergement [État SIC annuel]","Hotels und andere Übernachtungsplätze [Staat Annual SIC]"
"Professional and business services [State Annual NAICS]","Les services professionnels et d'affaires [État SCIAN annuel]","Professional und Business-Services [Staat Annual NAICS]"
"Personal services [State Annual SIC]","Services personnels [État SIC annuel]","Persönliche Dienste [Staat Annual SIC]"
"Mining [State Annual NAICS]","Mines [État SCIAN annuel]","Mining [Status Annual NAICS]"
"Mining [State Annual SIC]","Mines [État SIC annuel]","Mining [Status Annual SIC]"
"Mining [State Quarterly NAICS]","Mines [État SCIAN trimestriel]","Mining [Staat Quarterly NAICS]"
"Professional, scientific, and technical services [State Annual NAICS]","Services professionnels, scientifiques et techniques [État SCIAN annuel]","Freiberufliche, wissenschaftliche und technische Dienstleistungen [Staat Annual NAICS]"
"Business services [State Annual SIC]","Services aux entreprises [État SIC annuel]","Geschäftsdienstleistungen [Staat Annual SIC]"
"Professional, scientific, and technical services [State Quarterly NAICS]","Services professionnels, scientifiques et techniques [État SCIAN trimestriel]","Freiberufliche, wissenschaftliche und technische Dienstleistungen [Staat Quarterly NAICS]"
"Legal services [State Annual NAICS]","Les services juridiques [État SCIAN annuel]","Juristische Dienstleistungen [Staat Annual NAICS]"
"Automotive repair, services, and parking [State Annual SIC]","la réparation automobile, des services, et un parking [État SIC annuel]","Kfz-Reparatur, Dienstleistungen und Parkplatz [Zustand Annual SIC]"
"Computer systems design and related services [State Annual NAICS]","Conception de systèmes informatiques et services connexes [État SCIAN annuel]","Computer-System-Design und damit verbundene Dienstleistungen [Staat Annual NAICS]"
"Miscellaneous repair services [State Annual SIC]","Services de réparation Divers [État SIC annuel]","Verschiedene Reparaturdienste [Staat Annual SIC]"
"Miscellaneous professional, scientific, and technical services [State Annual NAICS]","services professionnels, scientifiques et techniques diverses [État SCIAN annuel]","Sonstige freiberufliche, wissenschaftliche und technische Dienstleistungen [Staat Annual NAICS]"
"Motion pictures [State Annual SIC]","Les images animées [État SIC annuel]","Bewegte Bilder [Status Annual SIC]"
"Management of companies and enterprises [State Annual NAICS]","Gestion de sociétés et d'entreprises [État SCIAN annuel]","Management von Firmen und Unternehmen [Staat Jahres NAICS]"
"Amusement and recreation services [State Annual SIC]","services de divertissement et de loisirs [État SIC annuel]","Unterhaltungs- und Erholungsdienstleistungen [Staat Annual SIC]"
"Management of companies and enterprises [State Quarterly NAICS]","Gestion de sociétés et d'entreprises [État SCIAN trimestriel]","Management von Firmen und Unternehmen [Staat Quarterly NAICS]"
"Administrative and waste management services [State Annual NAICS]","Services administratifs et gestion de déchets [État SCIAN annuel]","Verwaltungs- und Entsorgungsdienstleistungen [Staat Jahres NAICS]"
"Health services [State Annual SIC]","Les services de santé [État SIC annuel]","Die Gesundheitsdienste [Staat Annual SIC]"
"Administrative and waste management services [State Quarterly NAICS]","Services administratifs et gestion de déchets [État SCIAN trimestriel]","Verwaltungs- und Entsorgungsdienstleistungen [Staat Quarterly NAICS]"
